index,left,right,player_state,difficulty_of_choices,answer,round,set
1,+5,x7,1,1,right,1-1,1
2,+16,x3,7,2,left,1-1,2
3,+17,x6,4,3,right,1-1,3
4,x6,+9,1,4,right,1-1,4
5,x6,+40,7,5,right,1-1,5
6,x6,+26,4,6,right,1-1,6
7,x8,+14,1,7,right,1-1,7
8,+15,x2,7,8,left,1-1,8
9,+7,x5,4,9,right,1-1,9
10,x7,+16,1,10,right,1-1,10
11,+18,x2,7,11,left,1-1,11
12,+40,x8,4,12,left,1-1,12
13,+13,x1,1,13,left,1-1,13
14,+14,x1,7,14,left,1-1,14
15,x7,+9,4,15,left,1-1,15
16,+13,x8,2,1,right,1-2,1
17,x6,+42,8,2,right,1-2,2
18,+3,x1,5,3,left,1-2,3
19,x6,+6,2,4,left,1-2,4
20,+11,x3,8,5,right,1-2,5
21,x2,+11,5,6,right,1-2,6
22,+9,x2,2,7,left,1-2,7
23,+56,x7,8,8,left,1-2,8
24,x7,+39,5,9,right,1-2,9
25,+20,x6,2,10,left,1-2,10
26,+21,x5,8,11,right,1-2,11
27,x1,+12,5,12,right,1-2,12
28,x2,+15,2,13,right,1-2,13
29,+50,x9,8,14,right,1-2,14
30,x4,+30,5,15,right,1-2,15
31,x1,+1,3,1,right,1-3,1
32,+38,x5,9,2,left,1-3,2
33,x8,+45,6,3,right,1-3,3
34,+11,x6,3,4,right,1-3,4
35,+14,x2,9,5,left,1-3,5
36,+30,x7,6,6,right,1-3,6
37,+28,x8,3,7,left,1-3,7
38,x1,+8,9,8,right,1-3,8
39,x6,+39,6,9,right,1-3,9
40,x7,+28,3,10,right,1-3,10
41,x7,+65,9,11,right,1-3,11
42,x8,+54,6,12,right,1-3,12
43,+11,x9,3,13,right,1-3,13
44,x4,+41,9,14,right,1-3,14
45,+15,x1,6,15,left,1-3,15
46,x1,+1,4,1,right,1-4,1
47,x8,+5,1,2,left,1-4,2
48,x4,+24,7,3,right,1-4,3
49,+4,x1,4,4,left,1-4,4
50,+10,x6,1,5,left,1-4,5
51,x9,+62,7,6,right,1-4,6
52,+21,x8,4,7,right,1-4,7
53,+10,x3,1,8,left,1-4,8
54,+51,x7,7,9,left,1-4,9
55,x8,+18,4,10,left,1-4,10
56,x8,+18,1,11,right,1-4,11
57,x2,+19,7,12,right,1-4,12
58,x4,+25,4,13,right,1-4,13
59,+17,x4,1,14,left,1-4,14
60,x3,+29,7,15,right,1-4,15
61,+11,x3,5,1,left,1-5,1
62,+2,x1,2,2,left,1-5,2
63,x5,+29,8,3,left,1-5,3
64,+6,x3,5,4,right,1-5,4
65,x6,+5,2,5,left,1-5,5
66,x4,+30,8,6,right,1-5,6
67,x9,+33,5,7,left,1-5,7
68,+6,x8,2,8,right,1-5,8
69,x5,+23,8,9,left,1-5,9
70,x5,+10,5,10,left,1-5,10
71,+13,x2,2,11,left,1-5,11
72,+20,x2,8,12,left,1-5,12
73,+48,x8,5,13,left,1-5,13
74,x2,+16,2,14,right,1-5,14
75,x5,+17,8,15,left,1-5,15
76,x1,+1,6,1,right,2-1,1
77,+8,x3,3,2,left,2-1,2
78,+15,x3,9,3,right,2-1,3
79,x9,+44,6,4,left,2-1,4
80,x5,+17,3,5,right,2-1,5
81,x4,+21,9,6,left,2-1,6
82,+11,x4,6,7,right,2-1,7
83,+14,x3,3,8,left,2-1,8
84,x1,+9,9,9,right,2-1,9
85,x9,+38,6,10,left,2-1,10
86,+17,x3,3,11,left,2-1,11
87,x8,+51,9,12,left,2-1,12
88,+35,x9,6,13,right,2-1,13
89,+23,x4,3,14,left,2-1,14
90,+87,x9,9,15,left,2-1,15
91,+1,x1,7,1,left,2-2,1
92,x3,+6,4,2,left,2-2,2
93,x1,+3,1,3,right,2-2,3
94,+45,x8,7,4,right,2-2,4
95,x2,+9,4,5,right,2-2,5
96,+9,x4,1,6,left,2-2,6
97,x5,+21,7,7,left,2-2,7
98,x5,+8,4,8,left,2-2,8
99,x4,+12,1,9,right,2-2,9
100,x9,+66,7,10,right,2-2,10
101,x9,+21,4,11,left,2-2,11
102,x5,+16,1,12,right,2-2,12
103,+22,x6,7,13,right,2-2,13
104,+26,x4,4,14,left,2-2,14
105,+23,x9,1,15,left,2-2,15
106,+55,x8,8,1,right,2-3,1
107,+42,x9,5,2,left,2-3,2
108,+11,x8,2,3,right,2-3,3
109,x5,+36,8,4,right,2-3,4
110,+35,x7,5,5,left,2-3,5
111,x3,+10,2,6,right,2-3,6
112,x3,+9,8,7,left,2-3,7
113,+33,x6,5,8,left,2-3,8
114,x6,+1,2,9,left,2-3,9
115,+54,x9,8,10,right,2-3,10
116,+4,x4,5,11,right,2-3,11
117,x8,+26,2,12,right,2-3,12
118,x3,+3,8,13,left,2-3,13
119,+6,x5,5,14,right,2-3,14
120,x2,+17,2,15,right,2-3,15
121,+1,x1,9,1,left,2-4,1
122,x2,+4,6,2,left,2-4,2
123,x6,+18,3,3,right,2-4,3
124,+14,x3,9,4,right,2-4,4
125,x1,+5,6,5,right,2-4,5
126,+9,x2,3,6,left,2-4,6
127,+61,x7,9,7,left,2-4,7
128,x7,+28,6,8,left,2-4,8
129,x2,+12,3,9,right,2-4,9
130,+55,x6,9,10,left,2-4,10
131,x7,+47,6,11,right,2-4,11
132,+27,x6,3,12,left,2-4,12
133,x3,+5,9,13,left,2-4,13
134,x7,+22,6,14,left,2-4,14
135,x7,+33,3,15,right,2-4,15
136,+7,x7,1,1,left,2-5,1
137,x4,+23,7,2,right,2-5,2
138,x7,+21,4,3,left,2-5,3
139,+7,x4,1,4,left,2-5,4
140,+16,x4,7,5,right,2-5,5
141,x4,+18,4,6,right,2-5,6
142,x6,+12,1,7,right,2-5,7
143,x5,+36,7,8,right,2-5,8
144,+3,x4,4,9,right,2-5,9
145,x8,+17,1,10,right,2-5,10
146,x5,+39,7,11,right,2-5,11
147,x2,+16,4,12,right,2-5,12
148,+15,x3,1,13,left,2-5,13
149,+14,x1,7,14,left,2-5,14
150,x4,+27,4,15,right,2-5,15
151,x8,+13,2,1,left,3-1,1
152,x2,+10,8,2,right,3-1,2
153,+2,x2,5,3,right,3-1,3
154,+2,x4,2,4,right,3-1,4
155,x8,+51,8,5,left,3-1,5
156,x8,+41,5,6,right,3-1,6
157,x7,+19,2,7,right,3-1,7
158,x1,+8,8,8,right,3-1,8
159,x2,+14,5,9,right,3-1,9
160,+18,x5,2,10,left,3-1,10
161,x9,+75,8,11,right,3-1,11
162,+22,x3,5,12,left,3-1,12
163,x9,+29,2,13,right,3-1,13
164,x3,+2,8,14,left,3-1,14
165,+40,x6,5,15,left,3-1,15
166,+7,x3,3,1,left,3-2,1
167,x5,+34,9,2,left,3-2,2
168,+21,x5,6,3,right,3-2,3
169,+5,x4,3,4,right,3-2,4
170,+14,x2,9,5,left,3-2,5
171,x6,+24,6,6,left,3-2,6
172,+19,x5,3,7,left,3-2,7
173,x7,+62,9,8,right,3-2,8
174,x7,+27,6,9,left,3-2,9
175,+31,x8,3,10,left,3-2,10
176,+65,x7,9,11,left,3-2,11
177,+18,x2,6,12,left,3-2,12
178,+16,x2,3,13,left,3-2,13
179,+23,x2,9,14,left,3-2,14
180,x3,+27,6,15,right,3-2,15
181,+11,x4,4,1,right,3-3,1
182,x6,+7,1,2,right,3-3,2
183,x1,+3,7,3,right,3-3,3
184,+8,x2,4,4,left,3-3,4
185,+6,x2,1,5,left,3-3,5
186,x3,+20,7,6,right,3-3,6
187,+7,x1,4,7,left,3-3,7
188,x5,+12,1,8,right,3-3,8
189,+33,x7,7,9,right,3-3,9
190,+10,x1,4,10,left,3-3,10
191,x1,+11,1,11,right,3-3,11
192,+61,x8,7,12,left,3-3,12
193,x2,+17,4,13,right,3-3,13
194,+15,x2,1,14,left,3-3,14
195,x6,+20,7,15,left,3-3,15
196,+34,x8,5,1,right,3-4,1
197,+2,x3,2,2,right,3-4,2
198,x6,+43,8,3,right,3-4,3
199,+16,x5,5,4,right,3-4,4
200,x4,+11,2,5,right,3-4,5
201,x4,+18,8,6,left,3-4,6
202,+32,x6,5,7,left,3-4,7
203,x4,+14,2,8,right,3-4,8
204,+49,x6,8,9,left,3-4,9
205,x1,+10,5,10,right,3-4,10
206,x3,+15,2,11,right,3-4,11
207,x9,+76,8,12,right,3-4,12
208,x9,+27,5,13,left,3-4,13
209,+16,x2,2,14,left,3-4,14
210,+55,x6,8,15,left,3-4,15
211,+43,x8,6,1,left,3-5,1
212,+2,x1,3,2,left,3-5,2
213,x1,+3,9,3,right,3-5,3
214,x6,+26,6,4,left,3-5,4
215,x9,+29,3,5,right,3-5,5
216,+15,x2,9,6,left,3-5,6
217,x9,+41,6,7,left,3-5,7
218,x9,+32,3,8,right,3-5,8
219,x8,+72,9,9,right,3-5,9
220,+26,x7,6,10,right,3-5,10
221,x5,+1,3,11,left,3-5,11
222,x3,+30,9,12,right,3-5,12
223,+61,x9,6,13,left,3-5,13
224,+17,x2,3,14,left,3-5,14
225,+51,x5,9,15,left,3-5,15
